__v,_id,brand,device,devicetype,protocol,subdevice
0,6045c9b456c8123a1d549d56,AMC,7,CD Player,NEC1,252
0,6045c9b456c8123a1d549d5d,AMC,145,Tuner,NECx1,145
0,6045c9b456c8123a1d549d5e,AMC,7,Pre-Amplifier,NEC1,252
0,6045c9b456c8123a1d549d5f,Accupel,,Signal Generator,NEC1,-1
0,6045c9b556c8123a1d549d60,Acer,8,Projector,NEC,19
0,6045c9b556c8123a1d549d61,Acesonic,5,Karaoke,NEC1,122
0,6045c9b556c8123a1d549d62,Acesonic,77,Karaoke,NEC1,-1
0,6045c9b456c8123a1d549d57,ADA,27,Millenium,Panasonic_Old,-1
0,6045c9b456c8123a1d549d58,3M,134,Video Projector,Fujitsu,-1
0,6045c9b456c8123a1d549d59,3M,134,Projector,Fujitsu,-1
0,6045c9b456c8123a1d549d5a,ADB,42,Set Top Box,XMP-1,17
0,6045c9b456c8123a1d549d5b,ADB,42,Set Top Box,XMP-1/2,17
0,6045c9b456c8123a1d549d5c,AMC,7,Input Selector,NEC1,232
0,6045c9b556c8123a1d549d63,Adcom,26,CD Player,NEC1,-1
0,6045c9b556c8123a1d549d64,Adcom,81,Receiver,Aiwa,
0,6045c9b556c8123a1d549d65,Adcom,26,Receiver,NEC,-1
0,6045c9b556c8123a1d549d66,Adcom,26,Receiver,NEC,232
0,6045c9b556c8123a1d549d67,Adcom,26,Receiver,NEC1,-1
0,6045c9b556c8123a1d549d68,Adcom,26,Receiver,NEC2,-1
0,6045c9b556c8123a1d549d69,Adcom,26,Receiver,NEC2,232
0,6045c9b556c8123a1d549d6a,Adcom,26,Tuner,NEC1,-1
0,6045c9b556c8123a1d549d6b,Adcom,26,Surround Processor,NEC1,-1
0,6045c9b556c8123a1d549d6c,Adcom,81,Unknown,Aiwa,
0,6045c9b556c8123a1d549d6d,Adcom,26,Unknown,NEC1,-1
0,6045c9b556c8123a1d549d6e,AMX,4,PLR-IR1,Denon{1},-1
0,6045c9b556c8123a1d549d6f,AMX,85,PLR-IR1,Dgtec,-1
0,6045c9b656c8123a1d549d70,Adelphia,,Cable Box,G.I. Cable,-1
0,6045c9b656c8123a1d549d71,Adelphia,27,Cable Box,Panasonic_Old,-1
0,6045c9b656c8123a1d549d72,Adelphia,1,Cable Box,Sony12,-1
0,6045c9b656c8123a1d549d73,Aiwa,115,Cassette Tape,Aiwa,
0,6045c9b656c8123a1d549d74,Aesthetix,16,Pre-Amplifier,RC5,-1
0,6045c9b656c8123a1d549d75,Adcom,26,AV Preamplifier,NEC2,-1
0,6045c9b656c8123a1d549d77,Aiwa,13,Receiver,Sony12,-1
0,6045c9b656c8123a1d549d78,Aiwa,16,Receiver,Sony12,-1
0,6045c9b656c8123a1d549d79,Aiwa,18,Receiver,Sony12,-1
0,6045c9b656c8123a1d549d76,Aiwa,12,Receiver,Sony12,-1
0,6045c9b656c8123a1d549d7a,Aiwa,127,Unknown,Aiwa,
0,6045c9b656c8123a1d549d7b,Adcom,81,Pre-Amplifier,Aiwa,
0,6045c9b656c8123a1d549d7c,Adcom,26,Pre-Amplifier,NEC1,-1
0,6045c9b656c8123a1d549d7d,Adcom,26,Pre-Amplifier,NEC1,232
0,6045c9b656c8123a1d549d7f,Adcom,232,Pre-Amplifier,NEC1,26
0,6045c9b656c8123a1d549d7e,Adcom,88,Pre-Amplifier,NEC1,23
0,6045c9b656c8123a1d549d80,Adcom,26,Pre-Amplifier,NEC2,-1
0,6045c9b656c8123a1d549d81,Adcom,26,Pre-Amplifier,NEC2,232
0,6045c9b656c8123a1d549d82,Aiwa,127,VCR,Aiwa,
0,6045c9b656c8123a1d549d83,Aiwa,130,VCR,NEC1,111
0,6045c9b656c8123a1d549d84,Aiwa,118,CD Player,Aiwa,
0,6045c9b656c8123a1d549d85,Akai,141,CD Player,NEC1,-1
0,6045c9b656c8123a1d549d86,Aiwa,110,Mini System,Aiwa,
0,6045c9b756c8123a1d549d87,Alphaluxx,240,Screen,null,129
0,6045c9b756c8123a1d549d89,Alphaluxx,240,Screen,F32,33
0,6045c9b756c8123a1d549d88,Alphaluxx,240,Screen,F32,17
0,6045c9b756c8123a1d549d8a,Alphaluxx,240,Screen,F32,65
0,6045c9b756c8123a1d549d8b,Alphaluxx,241,Screen,F32,1
0,6045c9b756c8123a1d549d8c,AmPro,134,Video Projector,Fujitsu,-1
0,6045c9b756c8123a1d549d8d,AmPro,85,Video Projector,NEC1,-1
0,6045c9b756c8123a1d549d8f,AmPro,5,Video Projector,Zenith,1
0,6045c9b756c8123a1d549d90,AmPro,7,Video Projector,Zenith,
0,6045c9b756c8123a1d549d8e,AmPro,11,Video Projector,Sony12,-1
0,6045c9b756c8123a1d549d91,Amstrad,128,Twin Receiver,NEC1,105
0,6045c9b756c8123a1d549d92,Antex Electronics,26,Satellite Radio,ScAtl-6,-1
0,6045c9b756c8123a1d549d93,Aopen,4,Media PC,NEC,-1
0,6045c9b756c8123a1d549d94,Aopen,4,Media PC,NEC1,-1
0,6045c9b756c8123a1d549d95,Apex,4,DVD Player,NEC1,-1
